playerID,Name,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,HBP,SH
berrayo01,Yogi Berra,1957,134,482,74,121,14,2,24,82.0,57,10.0,1.0,1.0
camparo01,Roy Campanella,1957,103,330,31,80,9,0,13,62.0,34,6.0,4.0,6.0
musiast01,Stan Musial,1957,134,502,82,176,38,3,29,102.0,66,19.0,2.0,1.0
foxne01,Nellie Fox,1957,155,619,110,196,27,8,6,61.0,75,2.0,16.0,5.0
lemonbo01,Bob Lemon,1957,25,46,2,3,1,0,1,1.0,0,0.0,0.0,0.0
robinfr02,Frank Robinson,1957,150,611,97,197,29,5,29,75.0,44,5.0,12.0,5.0
aparilu01,Luis Aparicio,1957,143,575,82,148,22,6,3,41.0,52,1.0,0.0,9.0
schoere01,Red Schoendienst,1957,93,394,56,122,23,4,6,32.0,23,1.0,1.0,7.0
schoere01,Red Schoendienst,1957,57,254,35,78,8,4,9,33.0,10,0.0,2.0,1.0
aaronha01,Hank Aaron,1957,151,615,118,198,27,6,44,132.0,57,15.0,0.0,0.0
snidedu01,Duke Snider,1957,139,508,91,139,25,7,40,92.0,77,12.0,1.0,3.0
slaugen01,Enos Slaughter,1957,96,209,24,53,7,1,5,34.0,40,5.0,0.0,4.0
ashburi01,Richie Ashburn,1958,152,615,98,215,24,13,2,33.0,97,7.0,4.0,7.0
mantlmi01,Mickey Mantle,1958,150,519,127,158,21,1,42,97.0,129,13.0,2.0,2.0
dobyla01,Larry Doby,1958,89,247,41,70,10,1,13,45.0,26,2.0,0.0,0.0
mazerbi01,Bill Mazeroski,1958,152,567,69,156,24,6,19,68.0,25,3.0,3.0,9.0
cepedor01,Orlando Cepeda,1958,148,603,88,188,38,4,25,96.0,29,7.0,3.0,0.0
clemero01,Roberto Clemente,1958,140,519,69,150,24,10,6,50.0,31,1.0,0.0,3.0
berrayo01,Yogi Berra,1958,122,433,60,115,17,3,22,90.0,35,5.0,2.0,0.0
bankser01,Ernie Banks,1958,154,617,119,193,23,11,47,129.0,52,12.0,4.0,1.0
matheed01,Eddie Mathews,1958,149,546,97,137,18,1,31,77.0,85,5.0,2.0,8.0
musiast01,Stan Musial,1958,135,472,64,159,35,2,17,62.0,72,26.0,1.0,0.0
slaugen01,Enos Slaughter,1958,77,138,21,42,4,1,4,19.0,21,0.0,0.0,1.0
kalinal01,Al Kaline,1958,146,543,84,170,34,7,16,85.0,54,6.0,2.0,3.0
foxne01,Nellie Fox,1958,155,623,82,187,21,6,0,49.0,47,5.0,11.0,12.0
lemonbo01,Bob Lemon,1958,15,13,1,3,0,0,0,1.0,1,0.0,0.0,0.0
killeha01,Harmon Killebrew,1958,13,31,2,6,0,0,0,2.0,0,0.0,1.0,0.0
reesepe01,Pee Wee Reese,1958,59,147,21,33,7,2,4,17.0,26,0.0,0.0,6.0
aaronha01,Hank Aaron,1958,153,601,109,196,34,4,30,95.0,59,16.0,1.0,0.0
mayswi01,Willie Mays,1958,152,600,121,208,33,11,29,96.0,78,12.0,1.0,0.0
schoere01,Red Schoendienst,1958,106,427,47,112,23,1,1,24.0,31,0.0,1.0,5.0
robinfr02,Frank Robinson,1958,148,554,90,149,25,6,31,83.0,62,5.0,7.0,0.0
robinbr01,Brooks Robinson,1958,145,463,31,110,16,3,3,32.0,31,1.0,5.0,7.0
willite01,Ted Williams,1958,129,411,81,135,23,2,26,85.0,98,12.0,4.0,0.0
aparilu01,Luis Aparicio,1958,145,557,76,148,20,9,2,40.0,35,2.0,1.0,8.0
snidedu01,Duke Snider,1958,106,327,45,102,12,3,15,58.0,32,4.0,1.0,1.0
robinbr01,Brooks Robinson,1959,88,313,29,89,15,2,4,24.0,17,5.0,2.0,1.0
aparilu01,Luis Aparicio,1959,152,612,98,157,18,5,6,51.0,53,1.0,3.0,11.0
mazerbi01,Bill Mazeroski,1959,135,493,50,119,15,6,7,59.0,29,1.0,1.0,10.0
kalinal01,Al Kaline,1959,136,511,86,167,19,2,27,94.0,72,12.0,4.0,2.0
clemero01,Roberto Clemente,1959,105,432,60,128,17,7,4,50.0,15,2.0,3.0,3.0
bankser01,Ernie Banks,1959,155,589,97,179,25,6,45,143.0,64,20.0,7.0,2.0
matheed01,Eddie Mathews,1959,148,594,118,182,16,8,46,114.0,80,2.0,3.0,3.0
aaronha01,Hank Aaron,1959,154,629,116,223,46,7,39,123.0,51,17.0,4.0,0.0
mccovwi01,Willie McCovey,1959,52,192,32,68,9,5,13,38.0,22,1.0,4.0,0.0
killeha01,Harmon Killebrew,1959,153,546,98,132,20,2,42,105.0,90,1.0,7.0,0.0
cepedor01,Orlando Cepeda,1959,151,605,92,192,35,4,27,105.0,33,10.0,5.0,0.0
robinfr02,Frank Robinson,1959,146,540,106,168,31,4,36,125.0,69,9.0,8.0,0.0
willibi01,Billy Williams,1959,18,33,0,5,0,1,0,2.0,1,0.0,0.0,0.0
berrayo01,Yogi Berra,1959,131,472,64,134,25,1,19,69.0,43,5.0,4.0,0.0
willite01,Ted Williams,1959,103,272,32,69,15,0,10,43.0,52,6.0,2.0,0.0
musiast01,Stan Musial,1959,115,341,37,87,13,2,14,44.0,60,11.0,0.0,0.0
slaugen01,Enos Slaughter,1959,74,99,10,17,2,0,6,21.0,13,1.0,0.0,1.0
slaugen01,Enos Slaughter,1959,11,18,0,3,0,0,0,1.0,3,0.0,0.0,0.0
foxne01,Nellie Fox,1959,156,624,84,191,34,6,2,70.0,71,8.0,7.0,9.0
mantlmi01,Mickey Mantle,1959,144,541,104,154,23,4,31,75.0,93,6.0,2.0,1.0
snidedu01,Duke Snider,1959,126,370,59,114,11,2,23,88.0,58,13.0,0.0,5.0
dobyla01,Larry Doby,1959,21,58,1,14,1,1,0,9.0,2,0.0,0.0,0.0
dobyla01,Larry Doby,1959,18,55,5,12,3,1,0,4.0,8,0.0,0.0,0.0
ashburi01,Richie Ashburn,1959,153,564,86,150,16,2,1,20.0,79,4.0,6.0,7.0
mayswi01,Willie Mays,1959,151,575,125,180,43,5,34,104.0,65,9.0,2.0,0.0
schoere01,Red Schoendienst,1959,5,3,0,0,0,0,0,0.0,0,0.0,0.0,0.0
schoere01,Red Schoendienst,1960,68,226,21,58,9,1,1,19.0,17,4.0,1.0,2.0
mayswi01,Willie Mays,1960,153,595,107,190,29,12,29,103.0,61,11.0,4.0,0.0
bankser01,Ernie Banks,1960,156,597,94,162,32,7,41,117.0,71,28.0,4.0,0.0
ashburi01,Richie Ashburn,1960,151,547,99,159,16,5,0,40.0,116,1.0,1.0,7.0
